Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2006,Canada,Total,   27 weeks or more,25-54 years,112.1,61.5,50.5
2006,Canada,Total,   27 weeks or more,55 years and over,29.1,17.0,12.1
2006,Canada,Total,   27 weeks or more,55-64 years,25.1,14.6,10.5
2006,Canada,Total,   27 weeks or more,65 years and over,4.0,2.4,1.6
2006,Canada,Total,   27 weeks or more,15-29 years,28.7,16.4,12.3
2006,Canada,Total,   27 weeks or more,25-64 years,137.1,76.1,61.0
2006,Canada,Total,      27 - 51 weeks,15 years and over,66.1,35.1,31.0
2006,Canada,Total,      27 - 51 weeks,15-24 years ,8.2,5.1,3.1
2006,Canada,Total,      27 - 51 weeks,25 years and over,57.9,30.0,27.8
2006,Canada,Total,      27 - 51 weeks,25-44 years,32.3,16.4,15.9
2006,Canada,Total,      27 - 51 weeks,45 years and over,25.6,13.6,11.9
2006,Canada,Total,      27 - 51 weeks,25-54 years,47.4,24.4,23.0
2006,Canada,Total,      27 - 51 weeks,55 years and over,10.5,5.6,4.9
2006,Canada,Total,      27 - 51 weeks,55-64 years,9.2,4.9,4.3
2006,Canada,Total,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,Total,      27 - 51 weeks,15-29 years,14.1,8.7,5.4
2006,Canada,Total,      27 - 51 weeks,25-64 years,56.5,29.3,27.2
2006,Canada,Total,      52 weeks,15 years and over,41.3,21.6,19.7
2006,Canada,Total,      52 weeks,15-24 years ,5.1,2.2,3.0
2006,Canada,Total,      52 weeks,25 years and over,36.2,19.4,16.7
2006,Canada,Total,      52 weeks,25-44 years,18.1,9.8,8.3
2006,Canada,Total,      52 weeks,45 years and over,18.1,9.6,8.5
2006,Canada,Total,      52 weeks,25-54 years,28.7,15.3,13.4
2006,Canada,Total,      52 weeks,55 years and over,7.5,4.1,3.4
2006,Canada,Total,      52 weeks,55-64 years,6.7,3.7,3.1
2006,Canada,Total,      52 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,Total,      52 weeks,15-29 years,8.1,4.0,4.1
2006,Canada,Total,      52 weeks,25-64 years,35.4,19.0,16.4
2006,Canada,Total,      53 weeks or more,15 years and over,50.2,31.0,19.2
2006,Canada,Total,      53 weeks or more,15-24 years ,3.2,1.9,0.0
2006,Canada,Total,      53 weeks or more,25 years and over,47.0,29.1,18.0
2006,Canada,Total,      53 weeks or more,25-44 years,20.5,12.4,8.1
2006,Canada,Total,      53 weeks or more,45 years and over,26.5,16.7,9.9
2006,Canada,Total,      53 weeks or more,25-54 years,36.0,21.8,14.2
2006,Canada,Total,      53 weeks or more,55 years and over,11.0,7.2,3.8
2006,Canada,Total,      53 weeks or more,55-64 years,9.2,6.0,3.2
2006,Canada,Total,      53 weeks or more,65 years and over,1.9,0.0,0.0
2006,Canada,Total,      53 weeks or more,15-29 years,6.5,3.7,2.8
2006,Canada,Total,      53 weeks or more,25-64 years,45.2,27.9,17.3
2006,Canada,Total,   Duration unknown,15 years and over,57.9,28.7,29.2
2006,Canada,Total,   Duration unknown,15-24 years ,15.7,8.5,7.3
2006,Canada,Total,   Duration unknown,25 years and over,42.2,20.2,21.9
2006,Canada,Total,   Duration unknown,25-44 years,21.9,10.3,11.6
2006,Canada,Total,   Duration unknown,45 years and over,20.3,9.9,10.4
2006,Canada,Total,   Duration unknown,25-54 years,33.3,15.8,17.4
2006,Canada,Total,   Duration unknown,55 years and over,8.9,4.4,4.5
2006,Canada,Total,   Duration unknown,55-64 years,8.9,4.4,4.5
2006,Canada,Total,   Duration unknown,65 years and over,0.0,0.0,0.0
2006,Canada,Total,   Duration unknown,15-29 years,21.7,11.7,10.0
2006,Canada,Total,   Duration unknown,25-64 years,42.2,20.2,21.9
2006,Canada,Total,Average weeks unemployed (no top-code),15 years and over,16.7,17.4,15.8
2006,Canada,Total,Average weeks unemployed (no top-code),15-24 years ,8.1,8.2,8.0
2006,Canada,Total,Average weeks unemployed (no top-code),25 years and over,20.4,21.6,19.0
2006,Canada,Total,Average weeks unemployed (no top-code),25-44 years,17.1,17.4,16.8
2006,Canada,Total,Average weeks unemployed (no top-code),45 years and over,25.1,27.3,22.2
2006,Canada,Total,Average weeks unemployed (no top-code),25-54 years,19.0,19.5,18.4
2006,Canada,Total,Average weeks unemployed (no top-code),55 years and over,27.6,31.4,22.3
2006,Canada,Total,Average weeks unemployed (no top-code),55-64 years,28.0,32.6,21.9
2006,Canada,Total,Average weeks unemployed (no top-code),65 years and over,25.0,24.6,26.0
2006,Canada,Total,Average weeks unemployed (no top-code),15-29 years,9.3,9.3,9.3
2006,Canada,Total,Average weeks unemployed (no top-code),25-64 years,20.3,21.5,18.9
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),15 years and over,14.6,14.9,14.2
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),15-24 years ,8.0,8.1,8.0
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),25 years and over,17.5,18.1,16.8
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),25-44 years,15.5,15.9,15.0
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),45 years and over,20.2,21.0,19.3
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),25-54 years,16.8,17.3,16.2
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),55 years and over,21.0,21.9,19.8
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),55-64 years,20.9,22.0,19.4
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),65 years and over,21.7,21.1,22.9
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),15-29 years,9.1,9.2,9.1
2006,Canada,Total,Average weeks unemployed (top-code = 99 weeks),25-64 years,17.4,18.0,16.7
2006,Canada,  Born in Canada,Total unemployed,15 years and over,839.7,473.8,365.9
2006,Canada,  Born in Canada,Total unemployed,15-24 years ,286.3,163.8,122.5
2006,Canada,  Born in Canada,Total unemployed,25 years and over,553.4,310.1,243.4
2006,Canada,  Born in Canada,Total unemployed,25-44 years,316.3,177.9,138.3
2006,Canada,  Born in Canada,Total unemployed,45 years and over,237.2,132.1,105.0
2006,Canada,  Born in Canada,Total unemployed,25-54 years,464.8,258.2,206.6
2006,Canada,  Born in Canada,Total unemployed,55 years and over,88.6,51.9,36.7
2006,Canada,  Born in Canada,Total unemployed,55-64 years,79.1,45.6,33.5
2006,Canada,  Born in Canada,Total unemployed,65 years and over,9.5,6.3,3.2
2006,Canada,  Born in Canada,Total unemployed,15-29 years,375.9,217.8,158.1
2006,Canada,  Born in Canada,Total unemployed,25-64 years,543.9,303.8,240.2
2006,Canada,  Born in Canada,   1 - 4 weeks,15 years and over,335.2,184.8,150.4
2006,Canada,  Born in Canada,   1 - 4 weeks,15-24 years ,154.2,85.9,68.3
2006,Canada,  Born in Canada,   1 - 4 weeks,25 years and over,181.1,98.9,82.1
2006,Canada,  Born in Canada,   1 - 4 weeks,25-44 years,112.7,61.8,50.9
2006,Canada,  Born in Canada,   1 - 4 weeks,45 years and over,68.4,37.1,31.3
2006,Canada,  Born in Canada,   1 - 4 weeks,25-54 years,154.7,83.7,70.9
2006,Canada,  Born in Canada,   1 - 4 weeks,55 years and over,26.4,15.2,11.2
2006,Canada,  Born in Canada,   1 - 4 weeks,55-64 years,23.1,13.1,10.0
2006,Canada,  Born in Canada,   1 - 4 weeks,65 years and over,3.3,2.1,0.0
2006,Canada,  Born in Canada,   1 - 4 weeks,15-29 years,189.4,107.1,82.3
2006,Canada,  Born in Canada,   1 - 4 weeks,25-64 years,177.8,96.9,80.9
2006,Canada,  Born in Canada,   5 - 13 weeks,15 years and over,231.2,135.5,95.7
2006,Canada,  Born in Canada,   5 - 13 weeks,15-24 years ,78.1,46.4,31.7
2006,Canada,  Born in Canada,   5 - 13 weeks,25 years and over,153.1,89.1,64.0
2006,Canada,  Born in Canada,   5 - 13 weeks,25-44 years,90.0,52.8,37.2
2006,Canada,  Born in Canada,   5 - 13 weeks,45 years and over,63.1,36.4,26.8
2006,Canada,  Born in Canada,   5 - 13 weeks,25-54 years,130.5,75.5,55.0
2006,Canada,  Born in Canada,   5 - 13 weeks,55 years and over,22.6,13.6,8.9
2006,Canada,  Born in Canada,   5 - 13 weeks,55-64 years,20.2,12.0,8.2
2006,Canada,  Born in Canada,   5 - 13 weeks,65 years and over,2.4,1.7,0.0
2006,Canada,  Born in Canada,   5 - 13 weeks,15-29 years,104.2,62.2,42.0
2006,Canada,  Born in Canada,   5 - 13 weeks,25-64 years,150.7,87.5,63.2
2006,Canada,  Born in Canada,   14 - 25 weeks,15 years and over,107.5,61.7,45.8
2006,Canada,  Born in Canada,   14 - 25 weeks,15-24 years ,23.4,14.5,8.9
2006,Canada,  Born in Canada,   14 - 25 weeks,25 years and over,84.0,47.1,36.9
2006,Canada,  Born in Canada,   14 - 25 weeks,25-44 years,46.0,26.7,19.4
2006,Canada,  Born in Canada,   14 - 25 weeks,45 years and over,38.0,20.5,17.6
2006,Canada,  Born in Canada,   14 - 25 weeks,25-54 years,70.6,39.3,31.3
2006,Canada,  Born in Canada,   14 - 25 weeks,55 years and over,13.5,7.8,5.7
2006,Canada,  Born in Canada,   14 - 25 weeks,55-64 years,11.7,6.7,5.0
2006,Canada,  Born in Canada,   14 - 25 weeks,65 years and over,1.8,0.0,0.0
2006,Canada,  Born in Canada,   14 - 25 weeks,15-29 years,35.9,22.3,13.6
2006,Canada,  Born in Canada,   14 - 25 weeks,25-64 years,82.3,46.0,36.3
2006,Canada,  Born in Canada,   26 weeks ,15 years and over,7.2,4.2,3.1
2006,Canada,  Born in Canada,   26 weeks ,15-24 years ,0.0,0.0,0.0
2006,Canada,  Born in Canada,   26 weeks ,25 years and over,5.8,3.5,2.4
2006,Canada,  Born in Canada,   26 weeks ,25-44 years,3.5,1.8,1.6
2006,Canada,  Born in Canada,   26 weeks ,45 years and over,2.4,1.6,0.0
2006,Canada,  Born in Canada,   26 weeks ,25-54 years,5.0,2.9,2.1
2006,Canada,  Born in Canada,   26 weeks ,55 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,   26 weeks ,55-64 years,0.0,0.0,0.0
2006,Canada,  Born in Canada,   26 weeks ,65 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,   26 weeks ,15-29 years,2.2,0.0,0.0
2006,Canada,  Born in Canada,   26 weeks ,25-64 years,5.7,3.3,2.4
2006,Canada,  Born in Canada,   27 weeks or more,15 years and over,109.1,62.0,47.1
2006,Canada,  Born in Canada,   27 weeks or more,15-24 years ,14.6,8.4,6.2
2006,Canada,  Born in Canada,   27 weeks or more,25 years and over,94.5,53.6,40.9
2006,Canada,  Born in Canada,   27 weeks or more,25-44 years,45.9,25.7,20.2
2006,Canada,  Born in Canada,   27 weeks or more,45 years and over,48.6,27.8,20.7
2006,Canada,  Born in Canada,   27 weeks or more,25-54 years,75.8,42.6,33.2
2006,Canada,  Born in Canada,   27 weeks or more,55 years and over,18.7,11.0,7.7
2006,Canada,  Born in Canada,   27 weeks or more,55-64 years,16.8,9.7,7.1
2006,Canada,  Born in Canada,   27 weeks or more,65 years and over,1.9,0.0,0.0
2006,Canada,  Born in Canada,   27 weeks or more,15-29 years,24.5,14.3,10.2
2006,Canada,  Born in Canada,   27 weeks or more,25-64 years,92.6,52.3,40.3
2006,Canada,  Born in Canada,      27 - 51 weeks,15 years and over,49.1,27.4,21.7
2006,Canada,  Born in Canada,      27 - 51 weeks,15-24 years ,7.3,4.7,2.6
2006,Canada,  Born in Canada,      27 - 51 weeks,25 years and over,41.8,22.7,19.1
2006,Canada,  Born in Canada,      27 - 51 weeks,25-44 years,22.9,12.8,10.1
2006,Canada,  Born in Canada,      27 - 51 weeks,45 years and over,18.9,9.9,9.0
2006,Canada,  Born in Canada,      27 - 51 weeks,25-54 years,34.3,18.9,15.4
2006,Canada,  Born in Canada,      27 - 51 weeks,55 years and over,7.5,3.9,3.7
2006,Canada,  Born in Canada,      27 - 51 weeks,55-64 years,6.3,3.1,3.2
2006,Canada,  Born in Canada,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,      27 - 51 weeks,15-29 years,12.2,7.9,4.3
2006,Canada,  Born in Canada,      27 - 51 weeks,25-64 years,40.6,22.0,18.6
2006,Canada,  Born in Canada,      52 weeks,15 years and over,28.1,14.6,13.5
2006,Canada,  Born in Canada,      52 weeks,15-24 years ,4.7,2.1,2.6
2006,Canada,  Born in Canada,      52 weeks,25 years and over,23.4,12.5,10.9
2006,Canada,  Born in Canada,      52 weeks,25-44 years,11.1,6.2,4.9
2006,Canada,  Born in Canada,      52 weeks,45 years and over,12.3,6.3,6.0
2006,Canada,  Born in Canada,      52 weeks,25-54 years,18.5,10.0,8.5
2006,Canada,  Born in Canada,      52 weeks,55 years and over,4.9,2.6,2.3
2006,Canada,  Born in Canada,      52 weeks,55-64 years,4.6,2.4,2.2
2006,Canada,  Born in Canada,      52 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,      52 weeks,15-29 years,7.0,3.4,3.6
2006,Canada,  Born in Canada,      52 weeks,25-64 years,23.1,12.4,10.7
2006,Canada,  Born in Canada,      53 weeks or more,15 years and over,32.0,20.0,12.0
2006,Canada,  Born in Canada,      53 weeks or more,15-24 years ,2.7,1.7,0.0
2006,Canada,  Born in Canada,      53 weeks or more,25 years and over,29.3,18.3,11.0
2006,Canada,  Born in Canada,      53 weeks or more,25-44 years,12.0,6.8,5.2
2006,Canada,  Born in Canada,      53 weeks or more,45 years and over,17.3,11.5,5.8
2006,Canada,  Born in Canada,      53 weeks or more,25-54 years,23.1,13.8,9.3
2006,Canada,  Born in Canada,      53 weeks or more,55 years and over,6.3,4.5,1.7
2006,Canada,  Born in Canada,      53 weeks or more,55-64 years,5.8,4.2,1.7
2006,Canada,  Born in Canada,      53 weeks or more,65 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,      53 weeks or more,15-29 years,5.4,3.0,2.3
2006,Canada,  Born in Canada,      53 weeks or more,25-64 years,28.9,17.9,11.0
2006,Canada,  Born in Canada,   Duration unknown,15 years and over,49.4,25.7,23.7
2006,Canada,  Born in Canada,   Duration unknown,15-24 years ,14.5,7.9,6.7
2006,Canada,  Born in Canada,   Duration unknown,25 years and over,34.9,17.8,17.1
2006,Canada,  Born in Canada,   Duration unknown,25-44 years,18.2,9.1,9.1
2006,Canada,  Born in Canada,   Duration unknown,45 years and over,16.7,8.7,8.0
2006,Canada,  Born in Canada,   Duration unknown,25-54 years,28.2,14.1,14.1
2006,Canada,  Born in Canada,   Duration unknown,55 years and over,6.7,3.7,3.0
2006,Canada,  Born in Canada,   Duration unknown,55-64 years,6.7,3.7,3.0
2006,Canada,  Born in Canada,   Duration unknown,65 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,   Duration unknown,15-29 years,19.7,10.7,9.0
2006,Canada,  Born in Canada,   Duration unknown,25-64 years,34.9,17.8,17.1
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),15 years and over,15.8,16.6,14.8
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),15-24 years ,8.2,8.4,8.1
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),25 years and over,19.8,20.9,18.3
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),25-44 years,16.2,16.5,15.9
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),45 years and over,24.6,27.1,21.3
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),25-54 years,18.5,18.9,17.9
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),55 years and over,26.8,31.5,20.1
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),55-64 years,27.8,33.0,20.7
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),65 years and over,18.9,20.8,15.0
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),15-29 years,9.4,9.4,9.5
2006,Canada,  Born in Canada,Average weeks unemployed (no top-code),25-64 years,19.8,20.9,18.3
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2006,Canada,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,Total unemployed,15 years and over,246.5,122.5,124.0
2006,Canada,  Total Landed immigrants,Total unemployed,15-24 years ,43.9,22.4,21.4
2006,Canada,  Total Landed immigrants,Total unemployed,25 years and over,202.6,100.1,102.5
2006,Canada,  Total Landed immigrants,Total unemployed,25-44 years,121.5,57.1,64.4
2006,Canada,  Total Landed immigrants,Total unemployed,45 years and over,81.1,43.0,38.1
2006,Canada,  Total Landed immigrants,Total unemployed,25-54 years,166.8,79.8,86.9
2006,Canada,  Total Landed immigrants,Total unemployed,55 years and over,35.9,20.3,15.6
2006,Canada,  Total Landed immigrants,Total unemployed,55-64 years,30.7,16.6,14.1
2006,Canada,  Total Landed immigrants,Total unemployed,65 years and over,5.2,3.7,1.5
2006,Canada,  Total Landed immigrants,Total unemployed,15-29 years,64.7,30.7,34.1
2006,Canada,  Total Landed immigrants,Total unemployed,25-64 years,197.4,96.4,101.0
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,15 years and over,91.7,43.4,48.3
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,15-24 years ,25.8,13.2,12.7
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,25 years and over,65.9,30.3,35.6
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,25-44 years,41.6,17.7,23.9
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,45 years and over,24.3,12.6,11.7
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,25-54 years,56.8,25.5,31.3
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,55 years and over,9.1,4.7,4.4
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,55-64 years,7.9,3.8,4.1
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,15-29 years,34.8,16.2,18.7
2006,Canada,  Total Landed immigrants,   1 - 4 weeks,25-64 years,64.7,29.4,35.4
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,15 years and over,67.0,33.6,33.4
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,15-24 years ,11.8,6.3,5.5
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,25 years and over,55.2,27.3,27.8
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,25-44 years,35.1,17.0,18.2
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,45 years and over,20.0,10.4,9.6
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,25-54 years,47.2,23.0,24.2
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,55 years and over,8.0,4.3,3.6
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,55-64 years,7.0,3.6,3.4
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,15-29 years,18.4,9.0,9.4
2006,Canada,  Total Landed immigrants,   5 - 13 weeks,25-64 years,54.2,26.6,27.6
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,15 years and over,31.5,17.7,13.7
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,15-24 years ,3.1,1.8,0.0
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,25 years and over,28.4,15.9,12.4
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,25-44 years,16.9,9.1,7.8
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,45 years and over,11.5,6.8,4.6
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,25-54 years,22.3,11.4,10.9
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,55 years and over,6.0,4.5,1.5
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,55-64 years,5.2,3.7,0.0
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,15-29 years,5.5,2.7,2.8
2006,Canada,  Total Landed immigrants,   14 - 25 weeks,25-64 years,27.5,15.1,12.4
2006,Canada,  Total Landed immigrants,   26 weeks ,15 years and over,2.5,0.0,1.6
2006,Canada,  Total Landed immigrants,   26 weeks ,15-24 years ,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,25 years and over,2.3,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,25-44 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,45 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,25-54 years,1.5,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,55 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,55-64 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,65 years and over,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,15-29 years,0.0,0.0,0.0
2006,Canada,  Total Landed immigrants,   26 weeks ,25-64 years,2.2,0.0,0.0
2006,Canada,  Total Landed immigrants,   27 weeks or more,15 years and over,46.2,24.3,21.9
2006,Canada,  Total Landed immigrants,   27 weeks or more,15-24 years ,1.9,0.0,0.0
2006,Canada,  Total Landed immigrants,   27 weeks or more,25 years and over,44.3,23.6,20.7
2006,Canada,  Total Landed immigrants,   27 weeks or more,25-44 years,23.6,12.0,11.6
2006,Canada,  Total Landed immigrants,   27 weeks or more,45 years and over,20.6,11.6,9.1
2006,Canada,  Total Landed immigrants,   27 weeks or more,25-54 years,34.3,17.9,16.4
2006,Canada,  Total Landed immigrants,   27 weeks or more,55 years and over,10.0,5.6,4.4
2006,Canada,  Total Landed immigrants,   27 weeks or more,55-64 years,7.9,4.5,3.4
2006,Canada,  Total Landed immigrants,   27 weeks or more,65 years and over,2.1,0.0,0.0
2006,Canada,  Total Landed immigrants,   27 weeks or more,15-29 years,4.1,2.0,2.0
2006,Canada,  Total Landed immigrants,   27 weeks or more,25-64 years,42.2,22.4,19.8
